n,avg_time_in_microseconds
2,2.912
3,4.26
4,5.147
5,6.539
6,8.311
7,11.009
8,13.513
9,14.68
10,16.151
11,18.049
12,19.471
13,23.935
14,27.112
15,28.961
16,31.317
17,33.231
18,36.967
19,41.25
20,45.001
21,47.956
22,53.304
23,55.738
24,60.796
25,67.22
26,73.357
27,78.881
28,83.023
29,87.953
30,91.459
31,97.933
32,102.128
33,106.188
34,109.764
35,116.114
36,122.638
37,127.536
38,134.371
39,142.081
40,146.437
41,155.55
42,157.567
43,165.199
44,173.328
45,186.043
46,187.8
47,197.571
48,210.577
49,217.903
50,235.361
