n,avg_time_in_microseconds
2,2.246
3,3.259
4,3.927
5,5.818
6,7.465
7,8.484
8,8.641
9,10.133
10,13.494
11,15.31
12,15.872
13,22.01
14,23.338
15,27.088
16,29.67
17,32.973
18,39.067
19,41.25
20,44.17
21,50.299
22,53.37
23,59.49
24,65.494
25,72.02
26,75.725
27,83.005
28,87.509
29,96.684
30,103.323
31,110.518
32,124.87
33,127.274
34,137.656
35,158.357
36,163.217
37,168.295
38,183.46
39,192.278
40,202.899
41,219.497
42,231.625
43,245.69
44,258.652
45,272.274
46,285.184
47,300.462
48,315.614
49,327.745
50,345.801
